AGS,Kreis,Kreis_WP,KreisSitz,KreisSitz_WP,Einwohner,Fläche,Karte
03151,Gifhorn,/wiki/Landkreis_Gifhorn,Gifhorn,/wiki/Gifhorn,176523,1562.86,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Lower_Saxony_GF.svg/71px-Lower_Saxony_GF.svg.png
08117,Göppingen,/wiki/Landkreis_G%C3%B6ppingen,Göppingen,/wiki/G%C3%B6ppingen,258145,642.36,//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Baden-W%C3%BCrttemberg_GP.svg/55px-Baden-W%C3%BCrttemberg_GP.svg.png
14626,Görlitz,/wiki/Landkreis_G%C3%B6rlitz,Görlitz,/wiki/G%C3%B6rlitz,252725,2111.41,//upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Saxony_GR.svg/75px-Saxony_GR.svg.png
03153,Goslar,/wiki/Landkreis_Goslar,Goslar,/wiki/Goslar,136292,965.29,//upload.wikimedia.org/wikipedia/commons/thumb/0/08/Lower_Saxony_GS.svg/71px-Lower_Saxony_GS.svg.png
16067,Gotha,/wiki/Landkreis_Gotha,Gotha,/wiki/Gotha,134908,936.08,//upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Thuringia_GTH.svg/77px-Thuringia_GTH.svg.png
03159,Göttingen,/wiki/Landkreis_G%C3%B6ttingen,Göttingen,/wiki/G%C3%B6ttingen,326041,1753.41,//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Lower_Saxony_G%C3%96.svg/71px-Lower_Saxony_G%C3%96.svg.png
03456,Grafschaft Bentheim,/wiki/Landkreis_Grafschaft_Bentheim,Nordhorn,/wiki/Nordhorn,137162,980.87,//upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Lower_Saxony_NOH.svg/71px-Lower_Saxony_NOH.svg.png
16076,Greiz,/wiki/Landkreis_Greiz,Greiz,/wiki/Greiz,97398,845.98,//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Thuringia_GRZ.svg/77px-Thuringia_GRZ.svg.png
06433,Groß-Gerau,/wiki/Kreis_Gro%C3%9F-Gerau,Groß-Gerau,/wiki/Gro%C3%9F-Gerau,275726,453.04,//upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Hesse_GG.svg/45px-Hesse_GG.svg.png
09774,Günzburg,/wiki/Landkreis_G%C3%BCnzburg,Günzburg,/wiki/G%C3%BCnzburg,127027,762.44,//upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Bavaria_GZ.svg/60px-Bavaria_GZ.svg.png
05754,Gütersloh,/wiki/Kreis_G%C3%BCtersloh,Gütersloh,/wiki/G%C3%BCtersloh,364938,969.21,//upload.wikimedia.org/wikipedia/commons/thumb/7/7c/North_rhine_w_GT.svg/60px-North_rhine_w_GT.svg.png
03252,Hameln-Pyrmont,/wiki/Landkreis_Hameln-Pyrmont,Hameln,/wiki/Hameln,148549,796.15,//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Lower_Saxony_HM.svg/71px-Lower_Saxony_HM.svg.png
03241,"Hannover, Region",/wiki/Region_Hannover,Hannover,/wiki/Hannover,1157115,2290.86,//upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Lower_Saxony_H.svg/71px-Lower_Saxony_H.svg.png
03353,Harburg,/wiki/Landkreis_Harburg,Winsen (Luhe),/wiki/Winsen_(Luhe),254431,1245.03,//upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Lower_Saxony_WL.svg/71px-Lower_Saxony_WL.svg.png
15085,Harz,/wiki/Landkreis_Harz,Halberstadt,/wiki/Halberstadt,213310,2104.54,//upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Saxony-Anhalt_HZ.svg/45px-Saxony-Anhalt_HZ.svg.png
09674,Haßberge,/wiki/Landkreis_Ha%C3%9Fberge,Haßfurt,/wiki/Ha%C3%9Ffurt,84384,956.38,//upload.wikimedia.org/wikipedia/commons/thumb/1/18/Bavaria_HAS.svg/60px-Bavaria_HAS.svg.png
12063,Havelland,/wiki/Landkreis_Havelland,Rathenow,/wiki/Rathenow,162996,1727.3,//upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Brandenburg_HVL.svg/57px-Brandenburg_HVL.svg.png
